type,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
merchant payments,447069,226535908.8355719,Chandigarh,2019,3,aggregated,transaction,india,2019-Q3,506.7135248374901,-0.3809906221399465
recharge & bill payments,308219,213884900.47217816,Chandigarh,2019,3,aggregated,transaction,india,2019-Q3,693.938078029512,-0.3105784565693439
financial services,2447,794918.674981478,Chandigarh,2019,3,aggregated,transaction,india,2019-Q3,324.85438291028936,-0.9920608398573741
others,26575,13282206.873976797,Chandigarh,2019,3,aggregated,transaction,india,2019-Q3,499.80082310354834,9.860237024928484
peer-to-peer payments,927850,3586763928.6423693,Chandigarh,2019,4,aggregated,transaction,india,2019-Q4,3865.6721761517156,33.91439322671684
merchant payments,561630,318692521.79224944,Chandigarh,2019,4,aggregated,transaction,india,2019-Q4,567.4421270093289,-0.3946974187638088
recharge & bill payments,338203,237695594.96329552,Chandigarh,2019,4,aggregated,transaction,india,2019-Q4,702.8192977687825,-0.39781884870822426
financial services,1911,654298.6785004465,Chandigarh,2019,4,aggregated,transaction,india,2019-Q4,342.3854937207988,-0.9943495474611402
others,21321,8707473.86293627,Chandigarh,2019,4,aggregated,transaction,india,2019-Q4,408.3989429640387,10.156985871271585
peer-to-peer payments,1087401,4421372542.468033,Chandigarh,2020,1,aggregated,transaction,india,2020-Q1,4066.0000703218343,50.001407063458565
merchant payments,764832,438193845.4527705,Chandigarh,2020,1,aggregated,transaction,india,2020-Q1,572.9282318898405,-0.2966421770809481
recharge & bill payments,389851,257250007.2445577,Chandigarh,2020,1,aggregated,transaction,india,2020-Q1,659.8675064179846,-0.49027891092422915
financial services,1574,1406138.1883251297,Chandigarh,2020,1,aggregated,transaction,india,2020-Q1,893.3533597999553,-0.9959625600549954
others,18853,8230536.662513691,Chandigarh,2020,1,aggregated,transaction,india,2020-Q1,436.56376505138127,10.977763659466328
peer-to-peer payments,766698,3293060119.5471582,Chandigarh,2020,2,aggregated,transaction,india,2020-Q2,4295.120268407063,39.66716172492441
merchant payments,390906,331423259.0003719,Chandigarh,2020,2,aggregated,transaction,india,2020-Q2,847.8336454297756,-0.49014344631132467
recharge & bill payments,361577,214425229.3354035,Chandigarh,2020,2,aggregated,transaction,india,2020-Q2,593.0278456190617,-0.07502826766537218
financial services,1797,3982005.1176844486,Chandigarh,2020,2,aggregated,transaction,india,2020-Q2,2215.9182624843897,-0.9950301042378249
others,7032,4125116.689457224,Chandigarh,2020,2,aggregated,transaction,india,2020-Q2,586.6206896270228,2.9131886477462436
peer-to-peer payments,981986,4178346395.412492,Chandigarh,2020,3,aggregated,transaction,india,2020-Q3,4254.9958914001745,138.64533560864618
merchant payments,796634,604271248.9262259,Chandigarh,2020,3,aggregated,transaction,india,2020-Q3,758.5305785671035,-0.18875218180299924
recharge & bill payments,366353,296964794.9657042,Chandigarh,2020,3,aggregated,transaction,india,2020-Q3,810.5974155137374,-0.5401238209767597
financial services,2643,5254415.457263877,Chandigarh,2020,3,aggregated,transaction,india,2020-Q3,1988.0497378977966,-0.9927856466304357
others,10470,4972498.603385328,Chandigarh,2020,3,aggregated,transaction,india,2020-Q3,474.9282333701364,2.9614074914869466
merchant payments,1322026,939307675.8510206,Chandigarh,2020,4,aggregated,transaction,india,2020-Q4,710.5062047577132,125.26800382043935
peer-to-peer payments,1159377,4872318731.339843,Chandigarh,2020,4,aggregated,transaction,india,2020-Q4,4202.531817812362,-0.12303010682089455
recharge & bill payments,409997,320731281.94750684,Chandigarh,2020,4,aggregated,transaction,india,2020-Q4,782.2771433632608,-0.6463643836301738
financial services,3346,4400109.748752326,Chandigarh,2020,4,aggregated,transaction,india,2020-Q4,1315.035788628908,-0.9918389646753513
others,17970,10005102.462219946,Chandigarh,2020,4,aggregated,transaction,india,2020-Q4,556.7669706299358,4.3705917513448895
merchant payments,1799072,1210594490.0981498,Chandigarh,2021,1,aggregated,transaction,india,2021-Q1,672.899411528916,99.11530328324986
peer-to-peer payments,1472084,5916467167.303293,Chandigarh,2021,1,aggregated,transaction,india,2021-Q1,4019.109756850352,-0.18175370413190806
recharge & bill payments,678396,451109555.33889335,Chandigarh,2021,1,aggregated,transaction,india,2021-Q1,664.9649398565047,-0.5391594501400736
financial services,5111,7700394.761505902,Chandigarh,2021,1,aggregated,transaction,india,2021-Q1,1506.6317279408925,-0.9924660522762516
others,15574,10549252.044153867,Chandigarh,2021,1,aggregated,transaction,india,2021-Q1,677.3630438008133,2.0471531989825866
merchant payments,1926913,1390989390.7789688,Chandigarh,2021,2,aggregated,transaction,india,2021-Q2,721.8745167939439,122.72627456016437
peer-to-peer payments,1663559,6541132352.922333,Chandigarh,2021,2,aggregated,transaction,india,2021-Q2,3932.011039537722,-0.1366714532519112
recharge & bill payments,806710,467698864.6672056,Chandigarh,2021,2,aggregated,transaction,india,2021-Q2,579.7608368152194,-0.5150697991474904
financial services,5502,7394941.032842191,Chandigarh,2021,2,aggregated,transaction,india,2021-Q2,1344.0459892479446,-0.9931797052224467
others,14863,10458390.53475552,Chandigarh,2021,2,aggregated,transaction,india,2021-Q2,703.6527305897545,1.7013813158851328
merchant payments,3179506,2245390329.2047896,Chandigarh,2021,3,aggregated,transaction,india,2021-Q3,706.2072942163938,212.92087734643073
peer-to-peer payments,2434417,8927868098.340746,Chandigarh,2021,3,aggregated,transaction,india,2021-Q3,3667.353661406713,-0.23434112091626813
recharge & bill payments,1008585,620437997.3899603,Chandigarh,2021,3,aggregated,transaction,india,2021-Q3,615.1568756128241,-0.585697520186558
financial services,5700,7960844.903971832,Chandigarh,2021,3,aggregated,transaction,india,2021-Q3,1396.6394568371636,-0.9943485179732001
others,21170,14225734.853836158,Chandigarh,2021,3,aggregated,transaction,india,2021-Q3,671.9761385846083,2.7140350877192985
merchant payments,4056249,3041038519.8233976,Chandigarh,2021,4,aggregated,transaction,india,2021-Q4,749.7169231532378,190.60363722248465
peer-to-peer payments,2797561,10610461952.10716,Chandigarh,2021,4,aggregated,transaction,india,2021-Q4,3792.7544572244037,-0.3103083661777174
recharge & bill payments,1013153,693790747.2429855,Chandigarh,2021,4,aggregated,transaction,india,2021-Q4,684.7837861043549,-0.6378441792690133
financial services,7038,10459431.863661809,Chandigarh,2021,4,aggregated,transaction,india,2021-Q4,1486.1369513585973,-0.9930533690370557
others,24902,17832859.58125159,Chandigarh,2021,4,aggregated,transaction,india,2021-Q4,716.1215798430484,2.5382210855356635
merchant payments,4511757,3264574793.456436,Chandigarh,2022,1,aggregated,transaction,india,2022-Q1,723.5706163821403,180.18050758975184
peer-to-peer payments,3012464,11150701028.605722,Chandigarh,2022,1,aggregated,transaction,india,2022-Q1,3701.521753822028,-0.33230801215579653
recharge & bill payments,1046187,731347957.2152067,Chandigarh,2022,1,aggregated,transaction,india,2022-Q1,699.0604521134431,-0.6527138581573091
financial services,7228,13538635.562948208,Chandigarh,2022,1,aggregated,transaction,india,2022-Q1,1873.0818432413128,-0.993091101304069
others,22855,14829134.999686666,Chandigarh,2022,1,aggregated,transaction,india,2022-Q1,648.8354845629694,2.1620088544548977
merchant payments,6136803,3919372475.5605655,Chandigarh,2022,2,aggregated,transaction,india,2022-Q2,638.6668230283041,267.51030409100855
peer-to-peer payments,3489382,12549248085.111444,Chandigarh,2022,2,aggregated,transaction,india,2022-Q2,3596.4099330802546,-0.43140068208153337
recharge & bill payments,1119367,792957088.5933374,Chandigarh,2022,2,aggregated,transaction,india,2022-Q2,708.397771770418,-0.6792076648529739
financial services,6673,8943857.181076445,Chandigarh,2022,2,aggregated,transaction,india,2022-Q2,1340.305287138685,-0.9940385950273681
others,20264,12978651.924569944,Chandigarh,2022,2,aggregated,transaction,india,2022-Q2,640.4782828942925,2.0367151206353964
merchant payments,7665907,4713972532.82215,Chandigarh,2022,3,aggregated,transaction,india,2022-Q3,614.9269137783892,377.3017666798263
peer-to-peer payments,4423590,14788179156.481958,Chandigarh,2022,3,aggregated,transaction,india,2022-Q3,3343.026626898505,-0.4229528221513775
recharge & bill payments,1360342,1033530639.9360826,Chandigarh,2022,3,aggregated,transaction,india,2022-Q3,759.757943176115,-0.692480089700899
financial services,8868,9918740.020967592,Chandigarh,2022,3,aggregated,transaction,india,2022-Q3,1118.4866960946765,-0.9934810510886233
others,19466,14156668.144691642,Chandigarh,2022,3,aggregated,transaction,india,2022-Q3,727.2510091796796,1.195083446098331
merchant payments,10170372,6570336079.954211,Chandigarh,2022,4,aggregated,transaction,india,2022-Q4,646.0271148345618,521.4685091955204
peer-to-peer payments,5951989,20013621495.89691,Chandigarh,2022,4,aggregated,transaction,india,2022-Q4,3362.509825857694,-0.4147717507284886
recharge & bill payments,1749647,1267654269.1590743,Chandigarh,2022,4,aggregated,transaction,india,2022-Q4,724.5200141280352,-0.7060399473184511
financial services,10778,12000766.356404984,Chandigarh,2022,4,aggregated,transaction,india,2022-Q4,1113.450209352847,-0.9938399002770273
others,22054,16141955.57281622,Chandigarh,2022,4,aggregated,transaction,india,2022-Q4,731.9287010436301,1.0462052328817961
merchant payments,6460913,3374931077.0,Chandigarh,2023,1,aggregated,transaction,india,2023-Q1,522.3613252492333,291.9587829872132
peer-to-peer payments,2634119,8623572416.0,Chandigarh,2023,1,aggregated,transaction,india,2023-Q1,3273.7975831767662,-0.5922992617297277
recharge & bill payments,700479,803831354.0,Chandigarh,2023,1,aggregated,transaction,india,2023-Q1,1147.5452568885005,-0.7340746564600915
financial services,8163,12527258.0,Chandigarh,2023,1,aggregated,transaction,india,2023-Q1,1534.638980766875,-0.9883465457208567
others,11931,10032289.0,Chandigarh,2023,1,aggregated,transaction,india,2023-Q1,840.8590227139384,0.46159500183755964
merchant payments,7747501,3820964178.0,Chandigarh,2023,2,aggregated,transaction,india,2023-Q2,493.1866647064647,648.3588969910318
peer-to-peer payments,3048793,9726960611.0,Chandigarh,2023,2,aggregated,transaction,india,2023-Q2,3190.4299868833336,-0.6064804638295627
recharge & bill payments,737650,845159777.0,Chandigarh,2023,2,aggregated,transaction,india,2023-Q2,1145.7463254931201,-0.7580517929554417
financial services,8262,11723572.0,Chandigarh,2023,2,aggregated,transaction,india,2023-Q2,1418.9750665698377,-0.9887995661899275
others,11481,9600612.0,Chandigarh,2023,2,aggregated,transaction,india,2023-Q2,836.2174026652731,0.3896151053013799
merchant payments,8849667,4339437634.0,Chandigarh,2023,3,aggregated,transaction,india,2023-Q3,490.3503865173684,769.809772667886
peer-to-peer payments,3410620,10182027091.0,Chandigarh,2023,3,aggregated,transaction,india,2023-Q3,2985.388900258604,-0.6146047077251607
recharge & bill payments,771020,877282807.0,Chandigarh,2023,3,aggregated,transaction,india,2023-Q3,1137.82107727426,-0.7739355307832594
financial services,10756,19516305.0,Chandigarh,2023,3,aggregated,transaction,india,2023-Q3,1814.4575120862773,-0.9860496485175482
others,10102,8519474.0,Chandigarh,2023,3,aggregated,transaction,india,2023-Q3,843.3452781627401,-0.06080327259204166
merchant payments,9052694,4771466320.0,Chandigarh,2023,4,aggregated,transaction,india,2023-Q4,527.0769474810481,895.1288853692338
peer-to-peer payments,3480727,10531589834.0,Chandigarh,2023,4,aggregated,transaction,india,2023-Q4,3025.686827493222,-0.6155037384451523
recharge & bill payments,725553,944249351.0,Chandigarh,2023,4,aggregated,transaction,india,2023-Q4,1301.4202284326575,-0.7915513052302005
financial services,10241,21758309.0,Chandigarh,2023,4,aggregated,transaction,india,2023-Q4,2124.6273801386583,-0.985885248906696
others,10863,12159187.0,Chandigarh,2023,4,aggregated,transaction,india,2023-Q4,1119.321274049526,0.060736256224978025
merchant payments,8982305,4662186840.0,Chandigarh,2024,1,aggregated,transaction,india,2024-Q1,519.0412527742044,825.8714903801896
peer-to-peer payments,3414122,10168258638.0,Chandigarh,2024,1,aggregated,transaction,india,2024-Q1,2978.2938740912014,-0.6199058036884741
recharge & bill payments,735766,978631681.0,Chandigarh,2024,1,aggregated,transaction,india,2024-Q1,1330.0854904956195,-0.7844933485095142
financial services,10909,21881737.0,Chandigarh,2024,1,aggregated,transaction,india,2024-Q1,2005.8426070217251,-0.9851732751989084
others,12071,11217285.0,Chandigarh,2024,1,aggregated,transaction,india,2024-Q1,929.2755364095767,0.10651755431295262
merchant payments,11201413,5412395814.0,Chandigarh,2024,2,aggregated,transaction,india,2024-Q2,483.1886668226589,926.9606494905145
peer-to-peer payments,3948610,11123555377.0,Chandigarh,2024,2,aggregated,transaction,india,2024-Q2,2817.0812962029677,-0.6474900086265902
recharge & bill payments,759642,976897042.0,Chandigarh,2024,2,aggregated,transaction,india,2024-Q2,1285.9966168274002,-0.8076178705924364
financial services,15209,26206753.0,Chandigarh,2024,2,aggregated,transaction,india,2024-Q2,1723.1082253928596,-0.9799787268213185
others,16099,17848826.0,Chandigarh,2024,2,aggregated,transaction,india,2024-Q2,1108.6915957512888,0.05851798277335796
merchant payments,12322648,6042931862.0,Chandigarh,2024,3,aggregated,transaction,india,2024-Q3,490.3923135676682,764.42940555314
peer-to-peer payments,4530333,12112839411.0,Chandigarh,2024,3,aggregated,transaction,india,2024-Q3,2673.7194398292577,-0.6323571849167484
recharge & bill payments,824606,1038931528.0,Chandigarh,2024,3,aggregated,transaction,india,2024-Q3,1259.9126467670621,-0.8179811506129903
financial services,17447,32954399.0,Chandigarh,2024,3,aggregated,transaction,india,2024-Q3,1888.828967730842,-0.9788420166722047
others,13351,31600676.0,Chandigarh,2024,3,aggregated,transaction,india,2024-Q3,2366.914538236836,-0.23476815498366477
merchant payments,12960792,6648643038.0,Chandigarh,2024,4,aggregated,transaction,india,2024-Q4,512.9812312395724,969.7731256085686
peer-to-peer payments,4727760,12817849297.0,Chandigarh,2024,4,aggregated,transaction,india,2024-Q4,2711.188659534325,-0.6352259954484263
recharge & bill payments,791148,984309171.0,Chandigarh,2024,4,aggregated,transaction,india,2024-Q4,1244.1530168817972,-0.8326590182242753
financial services,35852,25202177.0,Chandigarh,2024,4,aggregated,transaction,india,2024-Q4,702.9503793372754,-0.9546835737434716
others,12892,25382206.0,Chandigarh,2024,4,aggregated,transaction,india,2024-Q4,1968.8338504498913,-0.6404105768157983
recharge & bill payments,1177618,206518662.81014803,Chhattisgarh,2018,1,aggregated,transaction,india,2018-Q1,175.3698251981101,
peer-to-peer payments,550697,1838238336.1663632,Chhattisgarh,2018,1,aggregated,transaction,india,2018-Q1,3338.0213368991717,-0.5323636357460568
merchant payments,42411,39708474.15869055,Chhattisgarh,2018,1,aggregated,transaction,india,2018-Q1,936.2777147129412,-0.9229866877793051
financial services,33002,7350624.274461515,Chhattisgarh,2018,1,aggregated,transaction,india,2018-Q1,222.73269118421658,-0.22185282120204664
others,87786,57339459.82710209,Chhattisgarh,2018,1,aggregated,transaction,india,2018-Q1,653.1731691511412,1.6600206048118298
recharge & bill payments,1643461,351709628.0901169,Chhattisgarh,2018,2,aggregated,transaction,india,2018-Q2,214.00546048255293,17.721219784475885
peer-to-peer payments,933066,3703114547.658351,Chhattisgarh,2018,2,aggregated,transaction,india,2018-Q2,3968.7594957466576,-0.43225546575184925
merchant payments,118438,129967815.18510856,Chhattisgarh,2018,2,aggregated,transaction,india,2018-Q2,1097.348952068665,-0.8730657852713527
financial services,40299,9405941.62707696,Chhattisgarh,2018,2,aggregated,transaction,india,2018-Q2,233.4038469211881,-0.6597460274574038
others,80892,69972510.60099621,Chhattisgarh,2018,2,aggregated,transaction,india,2018-Q2,865.0115042401746,1.0072954663887441
recharge & bill payments,1911374,443460556.77590346,Chhattisgarh,2018,3,aggregated,transaction,india,2018-Q3,232.0113995355715,22.628714829649407
peer-to-peer payments,1619886,5647949187.747948,Chhattisgarh,2018,3,aggregated,transaction,india,2018-Q3,3486.6337432065884,-0.15250181283202557
merchant payments,220572,145342066.01377475,Chhattisgarh,2018,3,aggregated,transaction,india,2018-Q3,658.932530029989,-0.8638348624532838
financial services,31927,6195179.156999446,Chhattisgarh,2018,3,aggregated,transaction,india,2018-Q3,194.04200698466647,-0.855253613332608
others,75845,59360083.75169004,Chhattisgarh,2018,3,aggregated,transaction,india,2018-Q3,782.6499275059666,1.375575531681649
recharge & bill payments,2438959,554514488.4121984,Chhattisgarh,2018,4,aggregated,transaction,india,2018-Q4,227.35703569112823,31.15714944953524
peer-to-peer payments,2342713,8450105299.480802,Chhattisgarh,2018,4,aggregated,transaction,india,2018-Q4,3606.974178860493,-0.03946191797402088
merchant payments,458091,331842964.57864183,Chhattisgarh,2018,4,aggregated,transaction,india,2018-Q4,724.4040257910368,-0.8044613232606811
financial services,42199,9709810.436343707,Chhattisgarh,2018,4,aggregated,transaction,india,2018-Q4,230.0957472059458,-0.9078807485848881
others,83882,70240102.06349953,Chhattisgarh,2018,4,aggregated,transaction,india,2018-Q4,837.3679938902211,0.9877722220905709
peer-to-peer payments,4068056,11417366152.388483,Chhattisgarh,2019,1,aggregated,transaction,india,2019-Q1,2806.5902122263024,47.49736534655826
recharge & bill payments,2997095,679458794.5442779,Chhattisgarh,2019,1,aggregated,transaction,india,2019-Q1,226.70579162298088,-0.2632611252155821
merchant payments,710047,374735986.85082686,Chhattisgarh,2019,1,aggregated,transaction,india,2019-Q1,527.7622282057763,-0.7630882571289865
financial services,33835,5075418.743007188,Chhattisgarh,2019,1,aggregated,transaction,india,2019-Q1,150.00498723236848,-0.9523482248358207
others,78636,67920032.80184662,Chhattisgarh,2019,1,aggregated,transaction,india,2019-Q1,863.7269545989957,1.3241022609723658
peer-to-peer payments,4350167,15410038389.818308,Chhattisgarh,2019,2,aggregated,transaction,india,2019-Q2,3542.4015652314747,54.320298590976144
recharge & bill payments,3435305,855753107.510468,Chhattisgarh,2019,2,aggregated,transaction,india,2019-Q2,249.10542368449615,-0.2103050296689759
merchant payments,1483870,654411637.0168115,Chhattisgarh,2019,2,aggregated,transaction,india,2019-Q2,441.01682560925923,-0.5680529094214342
financial services,22563,4237631.55442897,Chhattisgarh,2019,2,aggregated,transaction,india,2019-Q2,187.81330294858708,-0.9847944900833631
others,98040,77914922.92227882,Chhattisgarh,2019,2,aggregated,transaction,india,2019-Q2,794.725856000396,3.3451668661082303
peer-to-peer payments,5021844,17584630267.779922,Chhattisgarh,2019,3,aggregated,transaction,india,2019-Q3,3501.6281405356126,50.222399020807835
recharge & bill payments,4335851,1069468753.7262832,Chhattisgarh,2019,3,aggregated,transaction,india,2019-Q3,246.657173811158,-0.13660181399501858
merchant payments,2772084,1074255588.7227576,Chhattisgarh,2019,3,aggregated,transaction,india,2019-Q3,387.5263479471609,-0.3606597643692092
financial services,16452,4542997.939180325,Chhattisgarh,2019,3,aggregated,transaction,india,2019-Q3,276.13651465963557,-0.9940651149099378
others,96880,70361559.28538439,Chhattisgarh,2019,3,aggregated,transaction,india,2019-Q3,726.2753848615234,4.888645757354729
peer-to-peer payments,7241974,24112075521.017845,Chhattisgarh,2019,4,aggregated,transaction,india,2019-Q4,3329.489379693692,73.7520024772915
recharge & bill payments,5112337,1257371454.8604,Chhattisgarh,2019,4,aggregated,transaction,india,2019-Q4,245.9484683541793,-0.29406857853949764
merchant payments,3852716,1720930747.6285615,Chhattisgarh,2019,4,aggregated,transaction,india,2019-Q4,446.67988702737534,-0.2463884912125316
financial services,14974,4665759.804240476,Chhattisgarh,2019,4,aggregated,transaction,india,2019-Q4,311.59074423938,-0.9961133911765103
others,83757,48745253.90234077,Chhattisgarh,2019,4,aggregated,transaction,india,2019-Q4,581.9842389572307,4.593495392012822
peer-to-peer payments,8109789,28723854868.846924,Chhattisgarh,2020,1,aggregated,transaction,india,2020-Q1,3541.8745011549527,95.82520863927792
recharge & bill payments,6400067,1688995018.2209015,Chhattisgarh,2020,1,aggregated,transaction,india,2020-Q1,263.9027088655324,-0.21082200782289162
merchant payments,4923214,2393811867.3887434,Chhattisgarh,2020,1,aggregated,transaction,india,2020-Q1,486.2294971107783,-0.23075586552453276
financial services,12424,7378557.223060286,Chhattisgarh,2020,1,aggregated,transaction,india,2020-Q1,593.8954622553352,-0.9974764452652272
others,78497,46557359.6766012,Chhattisgarh,2020,1,aggregated,transaction,india,2020-Q1,593.1100510414564,5.318174500965872
recharge & bill payments,8366200,2504355746.828547,Chhattisgarh,2020,2,aggregated,transaction,india,2020-Q2,299.3420844384006,105.57986929436794
peer-to-peer payments,7216219,27351810047.608715,Chhattisgarh,2020,2,aggregated,transaction,india,2020-Q2,3790.324274749521,-0.13745559513279626
merchant payments,3158417,2361252112.419633,Chhattisgarh,2020,2,aggregated,transaction,india,2020-Q2,747.6061939951669,-0.5623169141623889
financial services,19986,17814454.60563486,Chhattisgarh,2020,2,aggregated,transaction,india,2020-Q2,891.34667295281,-0.9936721465215012
others,60103,33149845.43882452,Chhattisgarh,2020,2,aggregated,transaction,india,2020-Q2,551.5505954582054,2.0072550785549885
peer-to-peer payments,9734445,34661165923.13037,Chhattisgarh,2020,3,aggregated,transaction,india,2020-Q3,3560.6720180894104,160.96271400762026
recharge & bill payments,8705513,2790720003.1373434,Chhattisgarh,2020,3,aggregated,transaction,india,2020-Q3,320.5692764041985,-0.10570011952402014
merchant payments,5591916,3990179454.188005,Chhattisgarh,2020,3,aggregated,transaction,india,2020-Q3,713.5621232843993,-0.3576580725340368
financial services,34893,39141096.45070238,Chhattisgarh,2020,3,aggregated,transaction,india,2020-Q3,1121.746380382953,-0.9937600994006348
others,81772,45538330.62766186,Chhattisgarh,2020,3,aggregated,transaction,india,2020-Q3,556.893932246513,1.3435072937265353
peer-to-peer payments,14257312,50812302052.95271,Chhattisgarh,2020,4,aggregated,transaction,india,2020-Q4,3563.9468402566145,173.35444895563273
merchant payments,11677743,8238390462.202984,Chhattisgarh,2020,4,aggregated,transaction,india,2020-Q4,705.4779731154371,-0.18092954688794072
recharge & bill payments,9423324,3033918783.208999,Chhattisgarh,2020,4,aggregated,transaction,india,2020-Q4,321.95844939736753,-0.19305263011867957
financial services,41308,48082346.06124696,Chhattisgarh,2020,4,aggregated,transaction,india,2020-Q4,1163.9959828906499,-0.995616408817101
others,129949,82280639.52262866,Chhattisgarh,2020,4,aggregated,transaction,india,2020-Q4,633.1763962987685,2.145855524353636
peer-to-peer payments,15621154,55638916992.13896,Chhattisgarh,2021,1,aggregated,transaction,india,2021-Q1,3561.7673951706106,119.20988233845586
merchant payments,15222763,10661449529.109669,Chhattisgarh,2021,1,aggregated,transaction,india,2021-Q1,700.3623145883352,-0.02550330148464064
recharge & bill payments,8456094,3000977538.840563,Chhattisgarh,2021,1,aggregated,transaction,india,2021-Q1,354.8893305633266,-0.44450990927205525
financial services,37395,40387648.84021996,Chhattisgarh,2021,1,aggregated,transaction,india,2021-Q1,1080.0280476058285,-0.9955777454697169
others,99031,68111552.62215017,Chhattisgarh,2021,1,aggregated,transaction,india,2021-Q1,687.7801155410949,1.6482417435486028
peer-to-peer payments,18387345,62134058797.4359,Chhattisgarh,2021,2,aggregated,transaction,india,2021-Q2,3379.1751227507775,184.67261766517555
merchant payments,15369311,12828590761.713425,Chhattisgarh,2021,2,aggregated,transaction,india,2021-Q2,834.6887353449628,-0.16413647538565246
recharge & bill payments,10764784,3640692364.165052,Chhattisgarh,2021,2,aggregated,transaction,india,2021-Q2,338.20394019657545,-0.2995922849111453
financial services,40213,39620256.36433959,Chhattisgarh,2021,2,aggregated,transaction,india,2021-Q2,985.259900140243,-0.9962643932288842
others,127767,85809079.54731184,Chhattisgarh,2021,2,aggregated,transaction,india,2021-Q2,671.6059666996317,2.1772561112078184
merchant payments,27552743,19905616746.80529,Chhattisgarh,2021,3,aggregated,transaction,india,2021-Q3,722.4549928406508,214.6483520783927
peer-to-peer payments,25447410,80506858751.32883,Chhattisgarh,2021,3,aggregated,transaction,india,2021-Q3,3163.6562915962304,-0.07641101287084195
recharge & bill payments,11039088,4045490947.23822,Chhattisgarh,2021,3,aggregated,transaction,india,2021-Q3,366.46967097628175,-0.5661999394044424
financial services,38817,48855662.40142638,Chhattisgarh,2021,3,aggregated,transaction,india,2021-Q3,1258.615101667475,-0.9964836769124406
others,159880,99286155.00295876,Chhattisgarh,2021,3,aggregated,transaction,india,2021-Q3,621.0042219349434,3.118813921735322
merchant payments,40526025,29283695601.229546,Chhattisgarh,2021,4,aggregated,transaction,india,2021-Q4,722.5898814707227,252.47776457343008
peer-to-peer payments,32799167,102177997315.68285,Chhattisgarh,2021,4,aggregated,transaction,india,2021-Q4,3115.2619612468466,-0.19066409794693662
recharge & bill payments,11115444,4724827139.9519415,Chhattisgarh,2021,4,aggregated,transaction,india,2021-Q4,425.0686828121253,-0.6611059055249787
financial services,55237,66445873.296120845,Chhattisgarh,2021,4,aggregated,transaction,india,2021-Q4,1202.9232814258712,-0.9950306078641573
others,221621,146144588.65236923,Chhattisgarh,2021,4,aggregated,transaction,india,2021-Q4,659.4347496508419,3.0121838622662347
merchant payments,48236094,33822547183.04485,Chhattisgarh,2022,1,aggregated,transaction,india,2022-Q1,701.1875211754262,216.65127853407392
peer-to-peer payments,37457039,118393860520.57216,Chhattisgarh,2022,1,aggregated,transaction,india,2022-Q1,3160.7906999955912,-0.22346450771905368
recharge & bill payments,11466264,5442872986.10511,Chhattisgarh,2022,1,aggregated,transaction,india,2022-Q1,474.68582496488045,-0.693882263357763
financial services,52918,55991695.31200866,Chhattisgarh,2022,1,aggregated,transaction,india,2022-Q1,1058.0841171625657,-0.9953848960742575
others,200977,131773069.80038044,Chhattisgarh,2022,1,aggregated,transaction,india,2022-Q1,655.6624379923097,2.7978948561926
merchant payments,61093916,41536371583.74904,Chhattisgarh,2022,2,aggregated,transaction,india,2022-Q2,679.8773806502932,302.98461515496797
peer-to-peer payments,42532112,133534947239.2497,Chhattisgarh,2022,2,aggregated,transaction,india,2022-Q2,3139.6265306375967,-0.3038240992769231
recharge & bill payments,12737942,5949415519.837789,Chhattisgarh,2022,2,aggregated,transaction,india,2022-Q2,467.06253803305026,-0.7005100052402758
financial services,41530,46037703.16128763,Chhattisgarh,2022,2,aggregated,transaction,india,2022-Q2,1108.5408899900706,-0.9967396617130145
others,178548,114905117.7834119,Chhattisgarh,2022,2,aggregated,transaction,india,2022-Q2,643.553093753007,3.29925355164941
merchant payments,84355775,50874051122.3736,Chhattisgarh,2022,3,aggregated,transaction,india,2022-Q3,603.089131981463,471.4543260075722
peer-to-peer payments,57116149,161027214428.20593,Chhattisgarh,2022,3,aggregated,transaction,india,2022-Q3,2819.2939693501735,-0.32291358831093664
recharge & bill payments,16538894,8069941553.075293,Chhattisgarh,2022,3,aggregated,transaction,india,2022-Q3,487.93719538170404,-0.7104340140299025
financial services,55775,61881709.73674865,Chhattisgarh,2022,3,aggregated,transaction,india,2022-Q3,1109.4882964903388,-0.9966276463226622
others,185994,128469268.5974064,Chhattisgarh,2022,3,aggregated,transaction,india,2022-Q3,690.7172736615504,2.334719856566562
merchant payments,97405954,60247141797.94961,Chhattisgarh,2022,4,aggregated,transaction,india,2022-Q4,618.5160077375723,522.7048184350033
peer-to-peer payments,63986789,183672880692.7266,Chhattisgarh,2022,4,aggregated,transaction,india,2022-Q4,2870.481290954084,-0.34309160403069405
recharge & bill payments,16324117,8376603987.152398,Chhattisgarh,2022,4,aggregated,transaction,india,2022-Q4,513.1428540454837,-0.7448830101476103
financial services,63695,81169069.23462963,Chhattisgarh,2022,4,aggregated,transaction,india,2022-Q4,1274.3397320767663,-0.9960981044181441
others,179891,141385263.4082809,Chhattisgarh,2022,4,aggregated,transaction,india,2022-Q4,785.949621761405,1.8242562210534579
merchant payments,115821237,68619935279.0,Chhattisgarh,2023,1,aggregated,transaction,india,2023-Q1,592.4641892660843,642.8411982811814
peer-to-peer payments,76752033,221082684005.0,Chhattisgarh,2023,1,aggregated,transaction,india,2023-Q1,2880.4798435111156,-0.3373233183479123
