type,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
peer-to-peer payments,3049646,10524250283.178782,Andhra-Pradesh,2018,1,aggregated,transaction,india,2018-Q1,3450.9744026614176,-0.3934007870394681
merchant payments,362672,247297640.2400069,Andhra-Pradesh,2018,1,aggregated,transaction,india,2018-Q1,681.8768480610769,-0.8810773447147636
financial services,204305,44808449.7639544,Andhra-Pradesh,2018,1,aggregated,transaction,india,2018-Q1,219.32135661855756,-0.43666729165747564
others,395514,287626042.970705,Andhra-Pradesh,2018,1,aggregated,transaction,india,2018-Q1,727.2208897048018,0.9358997577151806
recharge & bill payments,6456387,1598591488.4880352,Andhra-Pradesh,2018,2,aggregated,transaction,india,2018-Q2,247.59846156806202,15.324041626845066
peer-to-peer payments,4745000,20451493098.8953,Andhra-Pradesh,2018,2,aggregated,transaction,india,2018-Q2,4310.114457090685,-0.265068838035886
merchant payments,604847,436785223.8603296,Andhra-Pradesh,2018,2,aggregated,transaction,india,2018-Q2,722.1416719605613,-0.8725296101159115
financial services,225621,68952114.81374599,Andhra-Pradesh,2018,2,aggregated,transaction,india,2018-Q2,305.6103590257378,-0.6269783928828282
others,322063,328092346.575651,Andhra-Pradesh,2018,2,aggregated,transaction,india,2018-Q2,1018.7210159988915,0.42745134539781304
peer-to-peer payments,16129591,32738630444.668724,Andhra-Pradesh,2018,3,aggregated,transaction,india,2018-Q3,2029.7247738438455,49.08209884401499
recharge & bill payments,7542005,1949098146.8941927,Andhra-Pradesh,2018,3,aggregated,transaction,india,2018-Q3,258.4323594182439,-0.5324118881873694
merchant payments,1225416,685277254.5076212,Andhra-Pradesh,2018,3,aggregated,transaction,india,2018-Q3,559.2200970997777,-0.837521189657127
financial services,380324,60790077.57437308,Andhra-Pradesh,2018,3,aggregated,transaction,india,2018-Q3,159.83760576343613,-0.6896368253719554
others,348725,284248675.5700202,Andhra-Pradesh,2018,3,aggregated,transaction,india,2018-Q3,815.1083965015993,-0.0830844227553349
peer-to-peer payments,17580086,47011639726.13608,Andhra-Pradesh,2018,4,aggregated,transaction,india,2018-Q4,2674.1416240020712,49.412462542117716
recharge & bill payments,9767083,2418164314.470957,Andhra-Pradesh,2018,4,aggregated,transaction,india,2018-Q4,247.5830618487584,-0.44442348006716237
merchant payments,2622131,1671585888.568256,Andhra-Pradesh,2018,4,aggregated,transaction,india,2018-Q4,637.4913719292651,-0.7315338673788274
financial services,400837,57178116.40322068,Andhra-Pradesh,2018,4,aggregated,transaction,india,2018-Q4,142.64680257366632,-0.8471331142494406
others,389411,315211361.26249415,Andhra-Pradesh,2018,4,aggregated,transaction,india,2018-Q4,809.4567468882342,-0.028505352549789587
peer-to-peer payments,37420988,77524329742.2595,Andhra-Pradesh,2019,1,aggregated,transaction,india,2019-Q1,2071.6804629065246,95.0963814581509
recharge & bill payments,14022264,3480641602.3771377,Andhra-Pradesh,2019,1,aggregated,transaction,india,2019-Q1,248.22251259690572,-0.6252834371983979
merchant payments,5043682,2423536770.3706346,Andhra-Pradesh,2019,1,aggregated,transaction,india,2019-Q1,480.5094314769715,-0.6403090114406632
financial services,416325,47150177.52982048,Andhra-Pradesh,2019,1,aggregated,transaction,india,2019-Q1,113.25329377246257,-0.9174561362116009
others,361263,284937624.5393019,Andhra-Pradesh,2019,1,aggregated,transaction,india,2019-Q1,788.7262867752908,-0.13225725094577556
peer-to-peer payments,32494402,103924649232.4702,Andhra-Pradesh,2019,2,aggregated,transaction,india,2019-Q2,3198.2323980749115,88.94666489510412
recharge & bill payments,14093964,4708345387.9101095,Andhra-Pradesh,2019,2,aggregated,transaction,india,2019-Q2,334.068214443439,-0.56626486002112
merchant payments,9226537,4613405202.681959,Andhra-Pradesh,2019,2,aggregated,transaction,india,2019-Q2,500.01481625033955,-0.34535543016854586
financial services,145310,26626696.771042537,Andhra-Pradesh,2019,2,aggregated,transaction,india,2019-Q2,183.24063568262704,-0.9842508624850256
others,448802,361492238.3966455,Andhra-Pradesh,2019,2,aggregated,transaction,india,2019-Q2,805.4603999016169,2.0885830293854517
peer-to-peer payments,39023491,124338645329.51532,Andhra-Pradesh,2019,3,aggregated,transaction,india,2019-Q3,3186.2512077536917,85.95035004300337
recharge & bill payments,20147629,6893984676.598906,Andhra-Pradesh,2019,3,aggregated,transaction,india,2019-Q3,342.17349726853246,-0.48370510982730885
