name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
west bengal,24839,21424337.0,All,2021,3,top,insurance,states,india,2021-Q3,862.5281613591529,-0.08275480059084195
tamil nadu,23107,23402918.0,All,2021,3,top,insurance,states,india,2021-Q3,1012.8064222962738,-0.06972905511494021
andhra pradesh,23075,19914338.0,All,2021,3,top,insurance,states,india,2021-Q3,863.0265655471289,-0.0013848617302115729
bihar,18030,18234941.0,All,2021,3,top,insurance,states,india,2021-Q3,1011.3666666666667,-0.21863488624052008
delhi,16679,15007079.0,All,2021,3,top,insurance,states,india,2021-Q3,899.7589184003837,-0.07493067110371598
rajasthan,16643,12793862.0,All,2021,3,top,insurance,states,india,2021-Q3,768.7233070960764,-0.0021584027819413487
bengaluru urban,27498,26210017.0,All,2021,3,top,insurance,districts,india,2021-Q3,953.1608480616773,0.6522261611488314
pune,9943,8127896.0,All,2021,3,top,insurance,districts,india,2021-Q3,817.4490596399477,-0.6384100661866318
thane,7829,6194341.0,All,2021,3,top,insurance,districts,india,2021-Q3,791.2046238344616,-0.21261188776023332
mumbai suburban,5520,4552921.0,All,2021,3,top,insurance,districts,india,2021-Q3,824.8045289855072,-0.29492910972027075
hyderabad,5201,3813732.0,All,2021,3,top,insurance,districts,india,2021-Q3,733.2689867333205,-0.057789855072463814
rangareddy,5064,4209112.0,All,2021,3,top,insurance,districts,india,2021-Q3,831.1832543443918,-0.026341088252259226
medchal malkajgiri,4896,3968450.0,All,2021,3,top,insurance,districts,india,2021-Q3,810.5494281045752,-0.033175355450236976
kolkata,4808,3468389.0,All,2021,3,top,insurance,districts,india,2021-Q3,721.3787437603993,-0.017973856209150374
gurugram,4501,3651728.0,All,2021,3,top,insurance,districts,india,2021-Q3,811.3148189291269,-0.06385191347753749
chennai,4367,3861435.0,All,2021,3,top,insurance,districts,india,2021-Q3,884.2305930844974,-0.029771161964007975
712138,1350,480755.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,356.1148148148148,-0.6908632928784062
421301,1176,670772.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,570.3843537414966,-0.12888888888888894
560068,1126,984821.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,874.6190053285968,-0.04251700680272108
421302,1001,736789.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,736.052947052947,-0.11101243339253997
122001,866,704138.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,813.0923787528868,-0.13486513486513485
201301,846,600065.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,709.2966903073286,-0.023094688221709014
560058,841,725815.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,863.038049940547,-0.005910165484633523
122006,806,481888.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,597.8759305210918,-0.041617122473246115
