name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
jharkhand,5368,1349934.0,All,2020,3,map,insurance,india,2020-Q3,251.4780178837556,1.4333635539437894
odisha,10955,2640191.0,All,2020,3,map,insurance,india,2020-Q3,241.00328617069832,1.0407973174366618
bihar,9733,2161102.0,All,2020,3,map,insurance,india,2020-Q3,222.0386314599815,-0.11154723870378824
kerala,8811,2830361.0,All,2020,3,map,insurance,india,2020-Q3,321.23039382589945,-0.09472927155039557
karnataka,53701,12407394.0,All,2020,3,map,insurance,india,2020-Q3,231.04586506768962,5.094767903756668
chandigarh,264,70969.0,All,2020,3,map,insurance,india,2020-Q3,268.8219696969697,-0.9950838904303458
telangana,34395,8406543.0,All,2020,3,map,insurance,india,2020-Q3,244.41177496729176,129.2840909090909
himachal pradesh,531,165559.0,All,2020,3,map,insurance,india,2020-Q3,311.78719397363466,-0.9845617095508068
west bengal,12596,2878482.0,All,2020,3,map,insurance,india,2020-Q3,228.5234995236583,22.721280602636536
gujarat,12525,3335812.0,All,2020,3,map,insurance,india,2020-Q3,266.33229540918165,-0.005636710066687867
sikkim,94,28000.0,All,2020,3,map,insurance,india,2020-Q3,297.8723404255319,-0.9924950099800399
nagaland,89,20798.0,All,2020,3,map,insurance,india,2020-Q3,233.68539325842696,-0.05319148936170215
mizoram,74,24691.0,All,2020,3,map,insurance,india,2020-Q3,333.6621621621622,-0.1685393258426966
chhattisgarh,4702,1393656.0,All,2020,3,map,insurance,india,2020-Q3,296.3964270523182,62.54054054054054
jammu & kashmir,441,133339.0,All,2020,3,map,insurance,india,2020-Q3,302.35600907029476,-0.9062101233517652
goa,683,196864.0,All,2020,3,map,insurance,india,2020-Q3,288.2342606149341,0.5487528344671202
arunachal pradesh,135,39687.0,All,2020,3,map,insurance,india,2020-Q3,293.97777777777776,-0.8023426061493412
delhi,7588,1927285.0,All,2020,3,map,insurance,india,2020-Q3,253.99117026884554,55.20740740740741
uttarakhand,1403,418543.0,All,2020,3,map,insurance,india,2020-Q3,298.320028510335,-0.8151027938850817
puducherry,234,197955.0,All,2020,4,map,insurance,india,2020-Q4,845.9615384615385,-0.8332145402708482
tamil nadu,10290,8993575.0,All,2020,4,map,insurance,india,2020-Q4,874.011175898931,42.97435897435897
uttar pradesh,17470,14180417.0,All,2020,4,map,insurance,india,2020-Q4,811.7010303377218,0.6977648202137998
madhya pradesh,10653,4897124.0,All,2020,4,map,insurance,india,2020-Q4,459.69435839669575,-0.3902117916428163
andhra pradesh,21464,12985632.0,All,2020,4,map,insurance,india,2020-Q4,604.9959001118151,1.0148315028630432
tripura,244,149765.0,All,2020,4,map,insurance,india,2020-Q4,613.7909836065573,-0.988632128214685
manipur,90,49057.0,All,2020,4,map,insurance,india,2020-Q4,545.0777777777778,-0.6311475409836065
maharashtra,44798,27113814.0,All,2020,4,map,insurance,india,2020-Q4,605.2460824143935,496.75555555555553
dadra & nagar haveli & daman & diu,232,149513.0,All,2020,4,map,insurance,india,2020-Q4,644.4525862068965,-0.9948211973748828
meghalaya,92,71029.0,All,2020,4,map,insurance,india,2020-Q4,772.054347826087,-0.603448275862069
andaman & nicobar islands,124,157975.0,All,2020,4,map,insurance,india,2020-Q4,1273.991935483871,0.34782608695652173
haryana,8283,5974278.0,All,2020,4,map,insurance,india,2020-Q4,721.2698297718218,65.79838709677419
rajasthan,12509,6471573.0,All,2020,4,map,insurance,india,2020-Q4,517.3533455911744,0.5102016177713389
ladakh,27,34206.0,All,2020,4,map,insurance,india,2020-Q4,1266.888888888889,-0.9978415540810617
punjab,2451,1884291.0,All,2020,4,map,insurance,india,2020-Q4,768.7845777233782,89.77777777777777
assam,2413,1806801.0,All,2020,4,map,insurance,india,2020-Q4,748.7778698715292,-0.015503875968992276
jharkhand,3659,2857024.0,All,2020,4,map,insurance,india,2020-Q4,780.8209893413501,0.516369664318276
odisha,7526,4208701.0,All,2020,4,map,insurance,india,2020-Q4,559.2214988041457,1.0568461328231757
bihar,9913,7860932.0,All,2020,4,map,insurance,india,2020-Q4,792.992232422072,0.3171671538665959
kerala,5479,4445525.0,All,2020,4,map,insurance,india,2020-Q4,811.3752509582041,-0.44729143548875216
karnataka,31747,26814968.0,All,2020,4,map,insurance,india,2020-Q4,844.6457303052257,4.794305530206242
chandigarh,200,153341.0,All,2020,4,map,insurance,india,2020-Q4,766.705,-0.9937001921441396
telangana,20961,11339099.0,All,2020,4,map,insurance,india,2020-Q4,540.9617384666763,103.805
himachal pradesh,710,630966.0,All,2020,4,map,insurance,india,2020-Q4,888.6845070422535,-0.966127570249511
west bengal,10233,7510455.0,All,2020,4,map,insurance,india,2020-Q4,733.9445910290237,13.412676056338029
gujarat,9990,6055037.0,All,2020,4,map,insurance,india,2020-Q4,606.1098098098098,-0.0237467018469657
sikkim,67,70214.0,All,2020,4,map,insurance,india,2020-Q4,1047.9701492537313,-0.9932932932932933
nagaland,62,38836.0,All,2020,4,map,insurance,india,2020-Q4,626.3870967741935,-0.07462686567164178
mizoram,81,119124.0,All,2020,4,map,insurance,india,2020-Q4,1470.6666666666667,0.30645161290322576
chhattisgarh,3757,2249901.0,All,2020,4,map,insurance,india,2020-Q4,598.8557359595422,45.382716049382715
jammu & kashmir,647,734861.0,All,2020,4,map,insurance,india,2020-Q4,1135.7975270479135,-0.8277881288261911
goa,614,682364.0,All,2020,4,map,insurance,india,2020-Q4,1111.342019543974,-0.051004636785162316
arunachal pradesh,125,84247.0,All,2020,4,map,insurance,india,2020-Q4,673.976,-0.7964169381107492
delhi,9725,8045442.0,All,2020,4,map,insurance,india,2020-Q4,827.2948071979434,76.8
uttarakhand,1756,1961891.0,All,2020,4,map,insurance,india,2020-Q4,1117.25,-0.8194344473007712
