name,count,amount,state,year,quarter,country,date,avg_transaction_value,growth
mizoram,10422,0.0,All,2018,2,india,2018-Q2,0.0,-0.5354786949545374
chhattisgarh,950675,0.0,All,2018,2,india,2018-Q2,0.0,90.21809633467664
jammu & kashmir,261609,0.0,All,2018,2,india,2018-Q2,0.0,-0.7248176295789834
goa,122174,0.0,All,2018,2,india,2018-Q2,0.0,-0.5329900729714956
arunachal pradesh,32883,0.0,All,2018,2,india,2018-Q2,0.0,-0.730851081244782
delhi,2756141,0.0,All,2018,2,india,2018-Q2,0.0,82.81659216008272
uttarakhand,649142,0.0,All,2018,2,india,2018-Q2,0.0,-0.7644743139048401
puducherry,81546,0.0,All,2018,3,india,2018-Q3,0.0,-0.8743787953945361
tamil nadu,3900177,0.0,All,2018,3,india,2018-Q3,0.0,46.827937605768525
uttar pradesh,8096483,0.0,All,2018,3,india,2018-Q3,0.0,1.0759270668997845
madhya pradesh,4309309,0.0,All,2018,3,india,2018-Q3,0.0,-0.4677554439378184
andhra pradesh,5427617,0.0,All,2018,3,india,2018-Q3,0.0,0.2595098193237013
tripura,116874,0.0,All,2018,3,india,2018-Q3,0.0,-0.9784667930695921
lakshadweep,918,0.0,All,2018,3,india,2018-Q3,0.0,-0.9921453873402125
manipur,61935,0.0,All,2018,3,india,2018-Q3,0.0,66.4673202614379
maharashtra,10435033,0.0,All,2018,3,india,2018-Q3,0.0,167.48361992411398
dadra & nagar haveli & daman & diu,92107,0.0,All,2018,3,india,2018-Q3,0.0,-0.9911732909709055
meghalaya,37281,0.0,All,2018,3,india,2018-Q3,0.0,-0.595242489713051
andaman & nicobar islands,12149,0.0,All,2018,3,india,2018-Q3,0.0,-0.6741235481880851
haryana,3020398,0.0,All,2018,3,india,2018-Q3,0.0,247.61288994979012
rajasthan,5175453,0.0,All,2018,3,india,2018-Q3,0.0,0.7135003400214144
ladakh,17749,0.0,All,2018,3,india,2018-Q3,0.0,-0.9965705417477465
punjab,1473148,0.0,All,2018,3,india,2018-Q3,0.0,81.9989295171559
assam,784802,0.0,All,2018,3,india,2018-Q3,0.0,-0.4672619451677632
jharkhand,1532362,0.0,All,2018,3,india,2018-Q3,0.0,0.9525459924923738
odisha,2795718,0.0,All,2018,3,india,2018-Q3,0.0,0.8244500973007685
bihar,3784535,0.0,All,2018,3,india,2018-Q3,0.0,0.3536898213625266
kerala,1347598,0.0,All,2018,3,india,2018-Q3,0.0,-0.6439197946379145
karnataka,6372649,0.0,All,2018,3,india,2018-Q3,0.0,3.7288946703690566
chandigarh,143893,0.0,All,2018,3,india,2018-Q3,0.0,-0.9774202219516562
telangana,5138501,0.0,All,2018,3,india,2018-Q3,0.0,34.710569659399695
himachal pradesh,407634,0.0,All,2018,3,india,2018-Q3,0.0,-0.9206706391611095
west bengal,4851740,0.0,All,2018,3,india,2018-Q3,0.0,10.902196578303085
gujarat,4433183,0.0,All,2018,3,india,2018-Q3,0.0,-0.08626946208988939
sikkim,37637,0.0,All,2018,3,india,2018-Q3,0.0,-0.99151016323937
nagaland,32090,0.0,All,2018,3,india,2018-Q3,0.0,-0.1473815660121689
mizoram,14502,0.0,All,2018,3,india,2018-Q3,0.0,-0.5480835151137426
chhattisgarh,1217792,0.0,All,2018,3,india,2018-Q3,0.0,82.97407254171839
