name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
600003,2771900,5194488793.022476,All,2018,2,top,transaction,pincodes,india,2018-Q2,1873.9813099399244,-0.097022444623034
400008,2631405,4703762207.003538,All,2018,2,top,transaction,pincodes,india,2018-Q2,1787.5477955706317,-0.05068545041307404
731101,2134258,3697928407.603048,All,2018,2,top,transaction,pincodes,india,2018-Q2,1732.6529443033821,-0.18892834816381365
700009,1473202,2566583723.725673,All,2018,2,top,transaction,pincodes,india,2018-Q2,1742.1804502883333,-0.30973574891133127
411001,1316115,2145613783.550701,All,2018,2,top,transaction,pincodes,india,2018-Q2,1630.2631483956195,-0.10662964074173131
500012,1024336,2257038218.1929708,All,2018,2,top,transaction,pincodes,india,2018-Q2,2203.415889115457,-0.22169719211467087
201301,971854,1673280979.3831716,All,2018,2,top,transaction,pincodes,india,2018-Q2,1721.7411045107306,-0.051235141594164424
462001,928983,1443626493.1959715,All,2018,2,top,transaction,pincodes,india,2018-Q2,1553.9859106097435,-0.0441125930438111
west bengal,53705416,41843934183.17764,All,2018,3,top,transaction,states,india,2018-Q3,779.1380702307127,56.81097824179775
maharashtra,31538538,52260817733.24835,All,2018,3,top,transaction,states,india,2018-Q3,1657.0463010444032,-0.4127493957034054
odisha,30052155,23094515775.58576,All,2018,3,top,transaction,states,india,2018-Q3,768.4811879742321,-0.047129102813833645
uttar pradesh,26515356,37012114369.23937,All,2018,3,top,transaction,states,india,2018-Q3,1395.8746912256947,-0.1176886981981825
karnataka,25980261,48225091755.80772,All,2018,3,top,transaction,states,india,2018-Q3,1856.2204496639858,-0.020180570081729243
andhra pradesh,25626061,35718044599.21416,All,2018,3,top,transaction,states,india,2018-Q3,1393.8172003576422,-0.013633427316222857
telangana,19332703,32030093209.72354,All,2018,3,top,transaction,states,india,2018-Q3,1656.7829759616925,-0.24558429014900107
delhi,18547048,27375846860.618515,All,2018,3,top,transaction,states,india,2018-Q3,1476.0217831224957,-0.04063865254641319
madhya pradesh,17126985,24149742204.673225,All,2018,3,top,transaction,states,india,2018-Q3,1410.040483171628,-0.07656544588659064
tamil nadu,15774078,29330092241.18405,All,2018,3,top,transaction,states,india,2018-Q3,1859.3855210544828,-0.07899271237757255
bengaluru urban,18405424,33812835282.27632,All,2018,3,top,transaction,districts,india,2018-Q3,1837.1125426002857,0.16681456754556434
central delhi,8165361,10515884583.426523,All,2018,3,top,transaction,districts,india,2018-Q3,1287.8652374863186,-0.5563611574501082
pune,7890491,12601613622.467594,All,2018,3,top,transaction,districts,india,2018-Q3,1597.063303470924,-0.033662932967691184
birbhum,6066238,6130627463.516832,All,2018,3,top,transaction,districts,india,2018-Q3,1010.6143978387977,-0.23119638562416456
chennai,5887343,10122319547.137983,All,2018,3,top,transaction,districts,india,2018-Q3,1719.335793266671,-0.029490270576261635
